domain,freq_data_us,wilson
thecabin.net,38,
fergusfallsjournal.com,38,
wndu.com,38,0.2519
wtok.com,38,
currentaffairs.org,37,-0.6556
cjr.org,37,-0.5885
euronews.com,37,-0.2407
columbiamissourian.com,37,-0.2004
modbee.com,37,0.1274
publicopiniononline.com,37,0.337
baytownsun.com,37,
thetab.com,37,-0.1109
houstonpress.com,36,-0.3442
people-press.org,36,-0.3363
wvgazettemail.com,36,-0.2868
redlandsdailyfacts.com,36,
wilx.com,36,
wlox.com,36,0.2466
indyweek.com,35,-0.6203
beaumontenterprise.com,35,-0.2306
theaustralian.com.au,35,-0.0369
centredaily.com,35,0.1504
dailytelegraph.com.au,35,0.1737
bdtonline.com,35,0.2999
record-eagle.com,35,
sina.com.cn,35,
magnumphotos.com,34,-0.7156
amny.com,34,-0.4638
abqjournal.com,34,-0.1089
greenecountycommonwealth.com,34,
saukvalley.com,34,
crooked.com,34,
afp.com,33,-0.3436
theamericanconservative.com,33,0.2098
jonesborosun.com,33,
hudsonvalleyone.com,33,
lmtribune.com,33,
thisweeknews.com,33,
daystar.com,33,0.545
nbc15.com,33,0.2197
poynter.org,32,-0.5139
kitv.com,32,-0.0265
multichannel.com,32,0.0223
coloradoan.com,32,0.0497
weeklystandard.com,32,0.6389
fox19.com,32,0.4769
kfoxtv.com,32,0.1708
wset.com,32,0.4785
mediapost.com,31,-0.1582
sunjournal.com,31,-0.0492
gainesville.com,31,-0.0327
statesman.com,31,-0.0242
eagletribune.com,31,0.0239
pnj.com,31,0.4635
thespectrum.com,31,0.4745
reuters.tv,30,-0.4307
law.com,30,-0.1377
adn.com,30,-0.1124
uticaod.com,30,0.2141
commentarymagazine.com,30,0.4875
rblandmark.com,30,
crescent-news.com,30,
14news.com,30,0.2809
5newsonline.com,30,
kold.com,30,
wtxl.com,30,0.2042
shareblue.com,29,-0.7856
spiegel.de,29,-0.4226
press-citizen.com,29,-0.0038
shreveporttimes.com,29,0.3265
thenewsstar.com,29,0.3706
naplesnews.com,29,0.374
gowilkes.com,29,
thebulwark.com,29,
kcchronicle.com,29,
wisn.com,29,0.0974
providencejournal.com,28,-0.3751
news-gazette.com,28,0.1922
greeleytribune.com,28,0.2
city-journal.org,28,0.5366
projectveritas.com,28,0.8903
valdostadailytimes.com,28,
aol.com/news,28,
wwmt.com,28,0.3335
styleweekly.com,27,-0.4746
airforcetimes.com,27,-0.108
navytimes.com,27,0.3479
lemarssentinel.com,27,
mvprogress.com,27,
koat.com,27,0.0144
washingtoncitypaper.com,26,-0.6925
dailyastorian.com,26,-0.2133
columbiatribune.com,26,-0.0648
dailybreeze.com,26,-0.0628
eastbaytimes.com,26,0.0924
delmarvanow.com,26,0.1305
chronline.com,26,
chippewa.com,26,
chipleypaper.com,26,
eltiempo.com,26,-0.2275
ksnt.com,26,0.4061
kwwl.com,26,0.3384
wwlp.com,26,-0.1546
hcn.org,25,-0.592
elnuevoherald.com,25,0.0487
nonpareilonline.com,25,0.5956
tribstar.com,25,
conservativeminute.com,25,
kristv.com,25,
ksby.com,25,
kvue.com,25,0.1063
clevescene.com,24,-0.3864
fark.com,24,-0.2713
postcrescent.com,24,-0.013
ocala.com,24,0.248
bhcourier.com,24,
dnronline.com,24,
wiscnews.com,24,
djournal.com,24,
wcti12.com,24,0.3352
ocweekly.com,23,-0.4071
montrealgazette.com,23,-0.222
salemnews.com,23,-0.2097
rappler.com,23,-0.2073
chicagobusiness.com,23,-0.1564
theolympian.com,23,-0.1516
browardpalmbeach.com,23,-0.0907
dailynews.com,23,0.0592
heraldandnews.com,23,0.0693
islandpacket.com,23,0.1309
delcotimes.com,23,0.169
savannahnow.com,23,0.2235
idahopress.com,23,0.4522
dailyadvance.com,23,
apg-wi.com,23,
livingstonparishnews.com,23,
cleburnetimesreview.com,23,
foxbaltimore.com,23,0.0673
klkntv.com,23,0.3823
wishtv.com,23,0.149
chicagoreader.com,22,-0.7109
dailynorthwestern.com,22,-0.6088
heraldnet.com,22,0.0329
thelcn.com,22,0.1811
elkodaily.com,22,0.3863
griffindailynews.com,22,
marshallnews.com,22,
wcjb.com,22,0.2729
wrcbtv.com,22,0.1477
villagevoice.com,21,-0.7541
rightwingwatch.org,21,-0.6068
austinchronicle.com,21,-0.5237
southcoasttoday.com,21,-0.3375
itemlive.com,21,-0.2732
bakersfield.com,21,-0.0985
telegram.com,21,-0.0927
poughkeepsiejournal.com,21,-0.0314
pjstar.com,21,0.045
lasvegassun.com,21,0.0727
sunherald.com,21,0.0819
cantonrep.com,21,0.3176
armytimes.com,21,0.4144
muskogeephoenix.com,21,0.5249
sedaliademocrat.com,21,
tylerpaper.com,21,
kezi.com,21,-0.1043
nbc29.com,21,0.1215
newschannel9.com,21,0.1998
turnto10.com,21,-0.093
registerguard.com,20,-0.1947
onlineathens.com,20,0.1399
thetowntalk.com,20,0.3607
goldenstatenewspapers.com,20,
waltontribune.com,20,
swnewsherald.com,20,
peninsuladailynews.com,20,
theintermountain.com,20,
fdlreporter.com,20,
fox23.com,20,0.4381
wjhg.com,20,0.6565
harpers.org,19,-0.756
blackamericaweb.com,19,-0.7532
arktimes.com,19,-0.6297
thecrimson.com,19,-0.4793
loudountimes.com,19,-0.304
presstelegram.com,19,-0.2562
capecodtimes.com,19,-0.1952
santacruzsentinel.com,19,-0.1454
nyse.com,19,-0.1163
sctimes.com,19,-0.0448
duluthnewstribune.com,19,-0.0077
oanow.com,19,0.2322
heraldtribune.com,19,0.2612
bradenton.com,19,0.3184
conservativetribune.com,19,0.8741
morgancountycitizen.com,19,
timesuniononline.com,19,
indeonline.com,19,
myplainview.com,19,
gmnews.com,19,
kcentv.com,19,0.3416
kvia.com,19,-0.1729
adirondackdailyenterprise.com,18,-0.1454
nationaljournal.com,18,-0.0941
boiseweekly.com,18,-0.0072
newarkadvocate.com,18,0.1525
lancasteronline.com,18,0.2046
firsttoknow.com,18,0.3017
hotsr.com,18,
harlandaily.com,18,
timesgazette.com,18,
expressnews.com,18,0.1387
nbc11news.com,18,0.2974
wdtn.com,18,0.1168
rferl.org,17,-0.4119
metrowestdailynews.com,17,-0.1544
lcsun-news.com,17,-0.0891
trentonian.com,17,-0.0263
theoaklandpress.com,17,0.045
capitalgazette.com,17,0.1496
journalinquirer.com,17,0.3605
journalpatriot.com,17,
punxsutawneyspirit.com,17,
newstrib.com,17,
kark.com,17,
koaa.com,17,0.3404
ktul.com,17,0.4381
wbko.com,17,0.3727
wltx.com,17,0.1632
sfweekly.com,16,-0.5057
alibi.com,16,-0.4655
columbian.com,16,-0.2822
newsroom.ucla.edu,16,-0.2101
dnaindia.com,16,-0.1687
couriermail.com.au,16,-0.0787
ohio.com,16,-0.0189
newspressnow.com,16,0.203
otmj.com,16,
northwestgeorgianews.com,16,
swtimes.com,16,
tricornernews.com,16,
mrc.org,16,
tribtoday.com,16,
fox16.com,16,
kxxv.com,16,
record-courier.com,16,
wect.com,16,0.3209
wtva.com,16,
sourcewatch.org,15,-0.8738
lemonde.fr,15,-0.5317
dailycamera.com,15,-0.3862
jewishjournal.com,15,-0.2029
business-standard.com,15,-0.1273
chinadaily.com.cn,15,-0.0837
fosters.com,15,0.0482
redding.com,15,0.1458
poconorecord.com,15,0.2132
gazettextra.com,15,0.2856
news-journalonline.com,15,0.3095
chicoer.com,15,
