domain,Frequency count in our data,Ideology point estimate,Ideology point estimate lower bound,Ideology point estimate upper bound
wspolnota.org.pl,33,-0.399207,-0.5540214,-0.22546515
videosejm.pl,27,0.260015,0.1640247,0.3496846
obserwatorlokalny.pl,27,,,
glos24.pl,24,,,
lokalna24.pl,24,,,
nowytydzien.pl,24,,,
wsieci24.pl,23,,,
opzz.org.pl,23,-0.81186,-0.90969765,-0.7147866
wnet.fm,22,0.766412,0.69988765,0.83210335
e-stargard.pl,21,,,
korso.pl,21,,,
kurierostrowski.pl,21,,,
centrummedialne.pl,20,1.047335,0.97768165,1.1179895
warszawskagazeta.pl,19,,,
przegladpiaseczynski.pl,18,,,
slowopodlasia.pl,16,,,
tomaszow-tit.pl,16,,,
tygodnikpodhalanski.pl,16,,,
infowire.pl,14,-1.15843,-1.227667,-1.092421
swinoujskie.info,13,,,
portalprzemyski.pl,12,,,
lowiczanin.info,12,,,
zyciebytomskie.pl,12,,,
nj24.pl,11,,,
tygodnikits.pl,10,,,
tvtoya.pl,9,,,
tygodniksanocki.pl,9,,,
konecki24.pl,8,,,
mpolska24.pl,7,0.5000135,0.3890169,0.61603645
trybuna.info,7,,,
przegladlokalny.eu,7,,,
radioglos.pl,6,0.8267005,0.6834792,0.9756472
lewica.pl,6,,,
chojna24.pl,6,,,
echokatolickie.pl,5,,,
gazetaslupecka.pl,5,,,
gloszabrza24.pl,5,,,
otopanorama.pl,5,,,
gpcodziennie.pl,4,0.390436,0.31122055,0.46856195
tvswietokrzyska.pl,4,,,
chorzowianin.pl,4,,,
glosswidnika.pl,4,,,
gpcodziennie.pl,4,0.390436,0.31122055,0.46856195
nowyobywatel.pl,3,-0.317191,-0.4438727,-0.18560385
starachowice-net.pl,3,,,
gazetasredzka.pl,3,,,
nasz-glos.com,3,,,
strzelecopolski.pl,3,,,
ws-24.pl,3,,,
kurier-ilawski.pl,2,,,
opoczno-top.pl,2,,,
7dni.com.pl,2,,,
tv.starachowice.pl,2,,,
miasto.koszalin.pl,2,,,
podkarpacie.media.pl,2,,,
klodzko24.eu,1,,,
gazetamyszkowska.pl,1,,,
noworudzianin.pl,1,,,
tygodnikpodlaski.pl,1,,,
terazprudnik.pl,1,,,
wiadomoscizaglebia.pl,1,,,
ntvsadecka.pl,0,,,
news.google.com/topstories?hl=pl&gl=PL&ceid=PL:pl,0,,,
Naszapolska.pl,0,,,
Ziemiadebicka.pl,0,,,
tygodniknie.pl,0,,,
forumdwutygodnik.pl,0,,,
dziennikpolski.pl,0,,,
gazetapomorska.pl,0,,,
września.info.pl,0,,,
tc.ciechanow.pl,0,,,
gazeta-mlawska.pl,0,,,
tygodnikmakowski.pl,0,,,
tygodnikprzasnyski.com.pl,0,,,
donosy.info,0,,,
citybydgoszcz.pl,0,,,
czasciechanowa.pl,0,,,
echotygodnik.info,0,,,
echogmin24.pl,0,,,
extraciechanow.pl,0,,,
gazetalokalna.com,0,,,
gazeta-mlawska.pl,0,,,
gazeta.myslenice.pl,0,,,
gazetasiedlecka.pl,0,,,
szamotulska.pl,0,,,
gazetaslaska.pl,0,,,
glos-tn.krakow.pl,0,,,
gzc.cieszyn.pl,0,,,
gwarek.com.pl,0,,,
konkrety24.pl,0,,,
kronika.beskidzka.pl,0,,,
kurekmazurski.pl,0,,,
linia.com.pl,0,,,
elokalna.pl,0,,,
sportexpress.pl,0,,,
nadwisla.pl,0,,,
nasz-dzien.pl,0,,,
enowiny.pl,0,,,
nowinynyskie.com.pl,0,,,
ol.com.pl,0,,,
famka.pl,0,,,
terazgorzow.pl,0,,,
terazkielce.pl,0,,,
terazradom.pl,0,,,
teraztorun.pl,0,,,
twojkurier.pl,0,,,
tc.ciechanow.pl,0,,,
tygodnikkepinski.pl,0,,,
tygodnik-krapkowicki.info,0,,,
tygodnik7dni.pl,0,,,
tylkogorzow.com,0,,,
wrzesnia.info.pl,0,,,
gazetawydarzenia.pl,0,,,
ziemiakaliska.com.pl,0,,,
ziemiapiotrkowska.pl,0,,,
zyciejarocina.pl,0,,,
insilesia.pl,0,,,
prawapolityka.pl,0,,,
,,,,
Median 1,435,,,
Median 2,164,,,
